nombre_colegio,localidad,direccion,telefono,email,tipo_discapacidad
CENTRO EDUCATIVO DISTRITAL ANDRÉS ROSILLO Y MERUELO,SAN CRISTÓBAL,"CL 22 SUR N°.9 - 38",2390207,,DISCAPACIDAD INTELECTUAL
INSTITUTO SALCEDO,SAN CRISTÓBAL,"DG. 46 SUR N°. 5 L-17 Carmen del Sol",5675458,,DISCAPACIDAD INTELECTUAL
JARDIN INFANTIL BOSQUE DE SAN CARLOS,SAN CRISTÓBAL,"CLL. 31F SUR N°.13-49 Hospital San Carlos",3611466,gardenyazcarclubcomunal@hotmail.com,DISCAPACIDAD INTELECTUAL
CENTRO EDUCATIVO DISTRITAL JUAN XXIII,SAN CRISTÓBAL,"KR 6 ESTE 11-49 SUR San Cristóbal Sur",2462211,,DISCAPACIDAD INTELECTUAL
CENTRO EDUCATIVO DISTRITAL SANTAFEREÑA I,SAN CRISTÓBAL,"KR 3A ESTE 35-53 SUR Las Guacamayas",3678402,,DISCAPACIDAD INTELECTUAL
COLEGIO JOSE FELIX RESTREPO (IED),SAN CRISTÓBAL,,,,"DISCAPACIDAD INTELECTUAL"
COLEGIO ATABANZHA (IED),USME,"Usme Barrio Valle de Cafam Calle 92. Sur No. 2-43",7641220,colatabanzha@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO BRASILIA - USME (IED),USME,"Usme Carrera Bis b este #73d-a sur. Barrio Santa librada",7622130,,DISCAPACIDAD INTELECTUAL
COLEGIO CHUNIZA (IED),USME,"Usme Carrera 1G este #84A-42 SUR. Barrio Chuniza",7673402,cedchuniza5@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO CIUDAD DE VILLAVICENCIO (IED),USME,"Usme Carrera 7F ESTE # 114A-60 SUR. Barrio Puerta Al Llano De Usme",7735522,escdipuertaalllano5@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO GRAN YOMASA (IED),USME,,,,"DISCAPACIDAD INTELECTUAL"
COLEGIO CENTRO INTEGRAL JOSE MARIA CORDOBA (IED),USME,,,,"DISCAPACIDAD INTELECTUAL"
COLEGIO DIEGO MONTAÑA CUELLAR (IED),USME,"Usme Transversal 1 # 95A-20 SUR. Barrio Monte Blanco",7616822,edmonteblanco5@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO EDUARDO UMAÑA MENDOZA (IED),USME,"Usme CL 111 A BIS SUR # 4 A - 41 ESTE. Barrio VILLA ISRAEL",7688322,,DISCAPACIDAD INTELECTUAL
COLEGIO EL CORTIJO - VIANEY (IED),USME,"Usme Calle 73 B S 1 D-06",7671641,,DISCAPACIDAD INTELECTUAL
COLEGIO EL VIRREY JOSE SOLIS (IED),USME,"Usme Carrera 2B ESTE # 92-41 SUR",7671634,,DISCAPACIDAD INTELECTUAL
COLEGIO FEDERICO GARCIA LORCA (IED),USME,"Usme Carrera 4D ESTE # 89-55 SUR. Barrio Chuniza",7682629,,DISCAPACIDAD INTELECTUAL
COLEGIO FERNANDO GONZALEZ OCHOA (IED),USME,"Usme Carrera 4D ESTE # 89-55 SUR. Barrio Chuniza",7682629,,DISCAPACIDAD INTELECTUAL
COLEGIO LAS VIOLETAS (IED),USME,"Usme Calle 83 SUR # 13-33 ESTE. Barrio Tabaque Sur",3651599,cedlasvioletas5@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO LOS TEJARES (IED),USME,"Usme Calle 79 SUR # 5F-48 ESTE. Barrio El Curubo",7730968,,DISCAPACIDAD INTELECTUAL
COLEGIO LUIS EDUARDO MORA OSEJO (IED),USME,"Usme. Calle 91 SUR # 3B - 42 ESTE. Barrio El virrey",7640654,,DISCAPACIDAD INTELECTUAL
COLEGIO MIGUEL DE CERVANTES SAAVEDRA (IED),USME,"Carrera 1A # 76 Bis-15",2001004,,DISCAPACIDAD INTELECTUAL
COLEGIO NUEVA ESPERANZA (IED),USME,"Cr. 15 Este No. 76-59 Barrio La Esperanza",3653700,cednvaesperanza5@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO RURAL EL CURUBITAL,USME,"Dirección Zona rural Km 15 vía San Juan de Sumapaz",6392005,cedelcurubital5@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO SANTA LIBRADA (IED),USME,"76 Sur No. 1A - 39 Este",,,"DISCAPACIDAD INTELECTUAL"
CENTRO EDUCATIVO DISTRITAL NUEVO SAN ANDRES DE LOS ALTOS,USME,"CL 69 SUR 2B-15 Nuevo San Andrés",7688210,nuevosnandre5@gmail.com,DISCAPACIDAD INTELECTUAL
COLEGIO ARIEL DAVID,USME,"KR 2A ESTE 88-16 SUR Chuniza",7732092,colegioarieldavid@hotmail.com,DISCAPACIDAD INTELECTUAL
COLEGIO CENTRO CULTURAL,USME,"CL 72 SUR 2A-32 La Aurora",5699286,colegiocentrocultural22@latinmail.com,DISCAPACIDAD INTELECTUAL
CENTROS CRECER,USME,"Carrera 2 ESTE # 75 A - 22 SUR – Santa Librada",7735924,,DISCAPACIDAD INTELECTUAL
LICEO PEDAGÓGICO ENRIQUE PESTALOZZI,USME,"CLL. 96 SUR N°. 4B-24 ESTE Serranías I",7624057,pestalozzi98@hotmail.com,DISCAPACIDAD INTELECTUAL
COLEGIO INEM SANTIAGO PEREZ (IED),TUNJUELITO,"Dirección Calle 48b sur #28-56. Barrio El Carmen",7603737,inemsantiagoperez6@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO INSTITUTO TECNICO INDUSTRIALPILOTO (IED),TUNJUELITO,"Carrera 35 N° 51B - 87 Sur",7410956,itinpdpiloto6@redp.edu.co,DISCAPACIDAD INTELECTUAL
COLEGIO ISLA DEL SOL (IED),TUNJUELITO,"Calle 67 B Sur Nº 63-15",7131213,,DISCAPACIDAD INTELECTUAL
COLEGIO SAN CARLOS (IED),TUNJUELITO,,,,"DISCAPACIDAD INTELECTUAL"
COLEGIO RUFINO JOSE CUERVO,TUNJUELITO,"Carrera 12 N° 52-20 Sur Bogotá D.C.",7694936,,DISCAPACIDAD INTELECTUAL
CENTRO EDUCATIVO DISTRITAL LA ALQUERIA,TUNJUELITO,"CL 40B SUR 52C-60 Alquería",2384455,,DISCAPACIDAD INTELECTUAL
CENTRO EDUCATIVO DISTRITAL MUZU,TUNJUELITO,"CL 39 SUR 51F-59 Barrio Ospina Pérez",2384240,,DISCAPACIDAD INTELECTUAL
CENTRO INTEGRAL SANTAFE DE BOGOTA,TUNJUELITO,"KR 24D 49-50 SUR Tunal Oriental",7697118,,DISCAPACIDAD INTELECTUAL
COLEGIO SANTA CECILIA,TUNJUELITO,"DG 48 SUR 54B-04 Venecia",5633975,colsantacecilia@yahoo.es,DISCAPACIDAD INTELECTUAL
INSTITUCION EDUCATIVA GIMNASIO VILLA MARIN,TUNJUELITO,"CL 31B SUR 15B-12 Gustavo Restrepo",2788896,gimnasio_villamarin@hotmail.com,DISCAPACIDAD INTELECTUAL
COLEGIO NUESTRA SEÑORA DE LA PAZ,TUNJUELITO,"CL 1F 18C-21 Eduardo Santos",3336024,colegio_ntra_sra_delapaz@hotmail.com,DISCAPACIDAD INTELECTUAL
CENTROS CRECER,TUNJUELITO,"Diagonal 53 SUR # 59 – 57 Nuevo Muzu",3124499534,,DISCAPACIDAD INTELECTUAL
COLEGIO ALFONSO LÓPEZ MICHELSEN (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H – 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO BOSANOVA (IED),BOSA,"Calle 59B # 87B-02 Sur",7839623,,DISCAPACIDAD INTELECTUAL
COLEGIO PABLO DE TARSO (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H - 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO CARLOS PIZARRO LEON GOMEZ (IED),BOSA,"Calle 72 Sur # 100A-71",7234591,,DISCAPACIDAD INTELECTUAL
COLEGIO JOSE FRANCISCO SOCARRAS (IED),BOSA,"KR 88 C 66 A 03 SUR",7238531,josefrancisco.socarras@gmail.com,DISCAPACIDAD INTELECTUAL
COLEGIO CARLOS ALBAN HOLGUIN (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H - 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO CIUDADELA EDUCATIVA DE BOSA (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H - 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO EL PORVENIR (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H – 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO FERNANDO MAZUERA VILLEGAS (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H – 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO KIMY PERNÍA DOMICÓ (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H – 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO LUIS LOPEZ DE MESA (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H – 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO NUEVO CHILE (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H – 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO ORLANDO HIGUITA ROJAS (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H – 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO PABLO DE TARSO (IED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H – 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO VILLAS DEL PROGRESO (CED),BOSA,"Cadel Bosa Calle 61 SUR # 80 H – 28",7826028,,DISCAPACIDAD INTELECTUAL
COLEGIO COLOMBO JAPONES,BOSA,"CL 63 SUR 77M-66 Andalucía II",7803872,int_coljap@hotmail.com,DISCAPACIDAD INTELECTUAL
INSTITUCION EDUCATIVA GIMNASIO GARABATOS DE COLORES,BOSA,"CL 65G SUR 79B-20 Jiménez de Quesada",7190965,garabatosoffcolors@hotmail.com,DISCAPACIDAD INTELECTUAL
COLEGIO PEDAGOGICO DEL ESPIRITU SANTO COPES,BOSA,"AV CLL 68 #102- 23",4333063,colegio_copes@hotmail.com,DISCAPACIDAD INTELECTUAL
JARDIN INFANTIL MIS PRIMEROS TRAZOS,BOSA,"CLL. 72C SUR NO.78B-66 Villa Anny II",7823017,misprimerostrazos@gmail.com,DISCAPACIDAD INTELECTUAL
LICEO ALFREDO NOBEL,BOSA,"TR. 86 BIS N°.64B-25 SUR Jiménez de Quesada",7750239,liceo_nobel@hotmail.com,DISCAPACIDAD INTELECTUAL
COLEGIO ESTANCIA DE BOSA,BOSA,"CR. 97C N°.62A-43 SUR Bosa Nova el Porvenir",7846654,colestanciabosa@hotmail.com,DISCAPACIDAD INTELECTUAL
CENTROS CRECER,BOSA,"Calle 68 A SUR # 81 – 27",7808402,,DISCAPACIDAD INTELECTUAL
COLEGIO CARLOS ARANGO VELEZ (IED),KENNEDY,"Cadel Kennedy Carrera 78 J Calle 39 SUR Esquina",4524616,,DISCAPACIDAD INTELECTUAL
COLEGIO ISABEL II (IED),KENNEDY,,,,"DISCAPACIDAD INTELECTUAL"
COLEGIO CARLOS ARTURO TORRES (IED),KENNEDY,"Cadel Kennedy Carrera 78 J Calle 39 SUR Esquina",4524616,,DISCAPACIDAD INTELECTUAL
COLEGIO GABRIEL BETANCOURT MEJIA (IED),KENNEDY,"Cadel Kennedy Carrera 78 J Calle 39 SUR Esquina",4524616,,DISCAPACIDAD INTELECTUAL
COLEGIO JACKELINE (CED),KENNEDY,"Cadel Kennedy Carrera 78 J Calle 39 SUR Esquina",4524616,,DISCAPACIDAD INTELECTUAL
COLEGIO JAIRO ANIBAL NIÑO (CED),KENNEDY,"Cadel Kennedy Carrera 78 J Calle 39 SUR Esquina",4524616,,DISCAPACIDAD INTELECTUAL
COLEGIO JOHN F. KENNEDY (IED),KENNEDY,"Cadel Kennedy Carrera 78 J Calle 39 SUR Esquina",4524616,,DISCAPACIDAD INTELECTUAL
COLEGIO LAS AMERICAS (IED),KENNEDY,"Cadel Kennedy Carrera 78 J Calle 39 SUR Esquina",4524616,,DISCAPACIDAD INTELECTUAL
COLEGIO MANUEL CEPEDA VARGAS (IED),KENNEDY,"Cadel Kennedy Carrera 78 J Calle 39 SUR Esquina",4524616,,DISCAPACIDAD INTELECTUAL
GIMNASIO INFANTIL CRECIENDO Y APRENDIENDO,KENNEDY,"CR. 75B N°.41 G-15 SUR Timiza",2992420,,DISCAPACIDAD INTELECTUAL
COLEGIO SALUDCOOP SUR (IED),KENNEDY,"Cadel Kennedy Carrera 78 J Calle 39 SUR Esquina",4524616,,DISCAPACIDAD INTELECTUAL
COLEGIO SAN JOSE DE CASTILLA,KENNEDY,"Cadel Kennedy Carrera 78 J Calle 39 SUR Esquina",4524616,,DISCAPACIDAD INTELECTUAL
CENTRO EDUCATIVO DISTRITAL SAN JOSÉ OCCIDENTAL,KENNEDY,"CL 12 BIS 72-54 Nuevo Techo",,,"DISCAPACIDAD INTELECTUAL"
CENTRO EDUCATIVO DISTRITAL VISIÓN DE COLOMBIA,KENNEDY,"KR 79 C 13A-40",4129080,,DISCAPACIDAD INTELECTUAL
COLEGIO ERNESTO GUHL,KENNEDY,"CL 42G SUR 87G-16 Dindalito",4521719,colernestoguhl@hotmail.es,DISCAPACIDAD INTELECTUAL
COLEGIO INFANTIL DE APRENDIZAJE Y DESARROLLO,KENNEDY,"CLL. 33A SUR N° 80 A-68 Ciudad Kennedy Norte",2642882,www.lufera82@yahoo.com,DISCAPACIDAD INTELECTUAL
INSTITUCION EDUCATIVA GIMNASIO MARONY,KENNEDY,"CLL. 8 BIS N°.70-10 Marsella",2618342,gmarony@hotmail.com,DISCAPACIDAD INTELECTUAL
INSTITUCION EDUCATIVA GIMNASIO MODERNO CASTILLA,KENNEDY,"AC. 8 N°. 78C-04 Castilla",2923247,,DISCAPACIDAD INTELECTUAL
INSTITUTO DISTRITAL CASTILLA,KENNEDY,"CL 7C 78F-20 Castilla",4110023,,DISCAPACIDAD INTELECTUAL
JARDIN INFANTIL IDEAS CREATIVAS DE KENNEDY,KENNEDY,"CLL. 35A SUR N°.77-01 INT. 18 y 20 Ciudad Kennedy Oriental",2731143,linabeltran12@hotmail.com,DISCAPACIDAD INTELECTUAL
JARDIN INFANTIL TALLERIN,KENNEDY,"CLL. 40K SUR N°.75 C 78 Timiza",4538545,jardintallerin@hotmail.com,DISCAPACIDAD INTELECTUAL
LICEO CUADRANGULAR SINAI,KENNEDY,"CLL. 44A SUR N°.82A-51 Pastrana",2640666,LiceoCSinaí@terra.edu.co,DISCAPACIDAD INTELECTUAL
LICEO INFANTIL SAN JUAN GABRIEL PERBOYRE,KENNEDY,"CR. 87 I N°. 37-06 SUR Patio Bonito II",2658253,jgperoyre@yahoo.com,DISCAPACIDAD INTELECTUAL
LICEO NUEVOS HORIZONTES,KENNEDY,"CLL. 55 SUR N°.101A-35 San Martín",7851205,horizontes99@yahoo.com,DISCAPACIDAD INTELECTUAL
PREESCOLAR HORMIGUITAS,KENNEDY,"KR 78 #5-42 Mandalay",4504551,hormiguitaspreescolar@yahoo.es,DISCAPACIDAD INTELECTUAL
BÁSICA Y MEDIA O.E.A (IED),KENNEDY,"CRA 68 35-35 SUR Kennedy",,,"DISCAPACIDAD INTELECTUAL"
CENTROS CRECER,KENNEDY,"Carrera 74 # 42 G - 52 SUR",4542335,,DISCAPACIDAD INTELECTUAL
COLEGIO INSTITUTO TECNICO INTERNACIONAL (IED),FONTIBÓN,"Cadel Fontibón Calle 25 B # 81 – 55 Barrio Santa Cecilia",2633144,,DISCAPACIDAD INTELECTUAL
COLEGIO PABLO NERUDA (IED),FONTIBÓN,"Cadel Fontibón Calle 25 B # 81 – 55 Barrio Santa Cecilia",2633144,,DISCAPACIDAD INTELECTUAL
COLEGIO VILLEMAR EL CARMEN (IED),FONTIBÓN,"Cadel Fontibón Calle 25 B # 81 – 55 Barrio Santa Cecilia",2633144,,DISCAPACIDAD INTELECTUAL
INSTITUCION EDUCATIVA GIMNASIO CAMELOT,FONTIBÓN,"CR. 86 NO. 34A-18 Ferrocaja",2955138,,DISCAPACIDAD INTELECTUAL
CENTRO DE ESTIMULACION TEMPRANA DESPERTAR,FONTIBÓN,"KR 73 C 24 D 44",2952679,,DISCAPACIDAD INTELECTUAL
INSTITUCION EDUCATIVA GIMNASIO NUEVO REINO,FONTIBÓN,"KR 74A 24B-13 Modelia",4104971,info@mireino.edu.co,DISCAPACIDAD INTELECTUAL
LICEO PSICOPEDAGÓGICO ELLEN KEY,FONTIBÓN,"KR 81 D 24 B-96 Santa Cecilia",2631838,rectora@colegioellenkey.edu.co,DISCAPACIDAD INTELECTUAL
CENTROS CRECER,FONTIBÓN,"Calle 22 F # 106 – 28",3166293961,,DISCAPACIDAD INTELECTUAL
COLEGIO CHARRY (IED),ENGATIVÁ,"Cadel Engativá Carrera 68 F # 63 – 04 Barrio Bosque Popular",6606486,,DISCAPACIDAD INTELECTUAL
COLEGIO GARCES NAVAS (IED),ENGATIVÁ,"Cadel Engativá Carrera 68 F # 63 – 04 Barrio Bosque Popular",6606486,,DISCAPACIDAD INTELECTUAL
COLEGIO REPÚBLICA DE CHINA (IED),ENGATIVÁ,,,,"DISCAPACIDAD INTELECTUAL"
COLEGIO INSTITUTO TECNICO LAUREANO GOMEZ (IED),ENGATIVÁ,"Cadel Engativá Carrera 68 F # 63 – 04 Barrio Bosque Popular",6606486,,DISCAPACIDAD INTELECTUAL
COLEGIO NACIONES UNIDAS (IED),ENGATIVÁ,"Cadel Engativá Carrera 68 F # 63 – 04 Barrio Bosque Popular",6606486,,DISCAPACIDAD INTELECTUAL
COLEGIO REPÚBLICA DE BOLIVIA (IED),ENGATIVÁ,"Cadel Engativá Carrera 68 F # 63 – 04 Barrio Bosque Popular",6606486,,DISCAPACIDAD INTELECTUAL
COLEGIO RODOLFO LLINAS (IED),ENGATIVÁ,"Cadel Engativá Carrera 68 F # 63 – 04 Barrio Bosque Popular",6606486,,DISCAPACIDAD INTELECTUAL
COLEGIO SAN JOSE NORTE (IED),ENGATIVÁ,"Cadel Engativá Carrera 68 F # 63 – 04 Barrio Bosque Popular",6606486,,DISCAPACIDAD INTELECTUAL
COLEGIO CHORRILLOS (IED),ENGATIVÁ,"Cadel Engativá Carrera 68 F # 63 – 04 Barrio Bosque Popular",6606486,,DISCAPACIDAD INTELECTUAL
FUNDACIÓN APRENDER,ENGATIVÁ,"carrera 70d bis# 73-04",,,"DISCAPACIDAD INTELECTUAL"
COLEGIO MADRE ADELA,ENGATIVÁ,"Carrera 84 # 69A - 57",2233139,colmadreadela@hotmail.com,DISCAPACIDAD INTELECTUAL
CENTRO DE ESTIMULACIÓN PARA EL APRENDIZAJE,ENGATIVÁ,"Calle. 71B N°.91-34",2917908,cehuellitas@gmail.com,DISCAPACIDAD INTELECTUAL
COLEGIO COOP COMUNAL TABORA,ENGATIVÁ,"CLL. 72A N°.78A-04 Tabora",2525406,cooptabora@andinet.com,DISCAPACIDAD INTELECTUAL
COLEGIO ESTRADA DE MARIA AUXILIADORA,ENGATIVÁ,"KR 69A #66-27 La Estrada",2504646,colegioreuven@yahoo.com,DISCAPACIDAD INTELECTUAL
GIMNASIO INFANTIL MI PRIMERA U,ENGATIVÁ,"KR 70C 65-17 San Joaquín",2510875,consfu@hotmail.com,DISCAPACIDAD INTELECTUAL
JARDÍN INFANTIL GIMNASIO PAULO FREIRE,ENGATIVÁ,"CL 66 #74-17 El Real",4361102,gimnasiopaulofreire@yahoo.com,DISCAPACIDAD INTELECTUAL
JARDIN INFANTIL MI TALLERCITO MIRIAN,ENGATIVÁ,"CLL. 75 N°.72-63 Santa María",2513593,MiTallercito1@starmedia.com,DISCAPACIDAD INTELECTUAL
CENTROS CRECER,ENGATIVÁ,"Carrera 70 C # 48 – 29",,,"DISCAPACIDAD INTELECTUAL"
COLEGIO DELIA ZAPATA OLIVELLA (IED),SUBA,"CALLE 163 N.92 96 Barrio Fontanar del Río",6897665,,DISCAPACIDAD INTELECTUAL
LA NUEVA GAITANA (IED),SUBA,"Trv. 126 # 134-88 Barrio La Gaitana",6904265,,DISCAPACIDAD INTELECTUAL
COLEGIO EL SALITRE - SUBA (IED),SUBA,"Dirección CLL 163 No. 92-96 Barrio El Salitre",6858590,,DISCAPACIDAD INTELECTUAL
COLEGIO GERARDO PAREDES (IED),SUBA,"Dirección CR 94 C No. 129 A - 04 Barrio San Cayetano",6813272,,DISCAPACIDAD INTELECTUAL
COLEGIO GERARDO MOLINA RAMIREZ (IED),SUBA,"Dirección CRA 143 No. 142A-62 Barrio Ciudadela CAFAM II Sector",7016779,,DISCAPACIDAD INTELECTUAL
COLEGIO GONZALO ARANGO (IED),SUBA,"Dirección CLL 130 A No. 98-71 Barrio Aures II",6857674,,DISCAPACIDAD INTELECTUAL
COLEGIO HUNZA (IED),SUBA,"Dirección CLL 128 B No. 87D-05 Barrio Ciudad Hunza",6921630,,DISCAPACIDAD INTELECTUAL
COLEGIO LA TOSCANA - LISBOA (IED),SUBA,"Dirección CLL 132 D bis # 132-05 Barrio Toscana",6904984,,DISCAPACIDAD INTELECTUAL
COLEGIO RAMON DE ZUBIRIA (IED),SUBA,"Dirección DG 129 B BIS No. 93 B - 51 Barrio Naranjos El Rincón",6811682,,DISCAPACIDAD INTELECTUAL
COLEGIO VISTA BELLA (IED),SUBA,"Dirección CL 167 A No. 54B-40 Barrio Vista Bella",6681816,,DISCAPACIDAD INTELECTUAL
CORPORACIÓN SÍNDROME DE DOWN,SUBA,"Calle 119ª Nº 70-48, Bogotá",,corporacionsindromededown.org,DISCAPACIDAD INTELECTUAL
COLEGIO SANTA MARIANA DE JESUS,SUBA,"Cl. 194 N. 45 - 51",6703802,,DISCAPACIDAD INTELECTUAL
ALLEGRO PREESCOLAR,SUBA,"CL 134 A 11 09",2741624,allegropreescolarsas@hotmail.com,DISCAPACIDAD INTELECTUAL
CENTRO EDUCATIVO DISTRITAL LA PALMA,SUBA,"KR 88C #130 D-41 El Rincón",6924140,,DISCAPACIDAD INTELECTUAL
COLEGIO ALVERNIA,SUBA,"TV 77 #162-55 Suba Cerros",6921335,info@colegioalvernia.edu.co,DISCAPACIDAD INTELECTUAL
INSTITUCION EDUCATIVA GIMNASIO FRANCISCANO DE SUBA,SUBA,"CR. 110 B # 136 A -57 Barrio Villa Maria",6971482,,DISCAPACIDAD INTELECTUAL
LICEO TERIOSKA,SUBA,"CLL. 134 N°.40-07 San José Del Prado",2584775,lterioska@procesos-humanos.com.co,DISCAPACIDAD INTELECTUAL
PREESCOLAR PSICOPEDAGÓGICO CONDEMARIN,SUBA,"CLL 130 C BIS 98-06 Aures",6832979,condemarin1967@hotmail.com,DISCAPACIDAD INTELECTUAL
INSTITUCION EDUCATIVA GIMNASIO EDUCATIVO CUNDINAMARCA,SUBA,"CR. 98A NO.136-28 La Chucua",6811820,,DISCAPACIDAD INTELECTUAL
GUARDERIA Y JARDIN INFANTIL GLOBITO ROJO,SUBA,"CLL. 126 B N°.40-97 Barrio Tierra Linda",2586070,gjglobitorojo@yahoo.com,DISCAPACIDAD INTELECTUAL
JARDIN INFANTIL CARITAS FELICES,SUBA,"CR. 51 N°. 167-57 Granada norte",5283634,,DISCAPACIDAD INTELECTUAL
LICEO INFANTIL EL TRENCITO DE MICKEI Y MINNNIE,SUBA,"CR. 109 NO. 142A -14",6880699,liceotrencito@yahoo.com,DISCAPACIDAD INTELECTUAL
LICEO DE CIENCIA Y CULTURA HARDVARD,SUBA,"CR. 106 N°. 151-65",6815129,,DISCAPACIDAD INTELECTUAL
COLEGIO COLOMBO HEBREO,SUBA,"AC 153 # 50-65 Mazuren",6711303,rectoria@cch.edu.co,DISCAPACIDAD INTELECTUAL
CENTROS CRECER,SUBA,"Carrera 125 B # 131 A 10",,,"DISCAPACIDAD INTELECTUAL"
